Ecommerce_Provider_ID,Merchant_ID,Merchant_Registration_Date,Registered_Device_ID,Gender,Age,IP_Address
1746213,50448,2018-05-01 21:15:11,VATQMMZTVOZUT,F,39,48.151.136.76
1746213,338754,2018-04-14 10:13:00,LJCILLBRQZNKS,M,35,94.9.145.169
1746213,291127,2018-06-20 07:44:22,JFVHSUGKDAYZV,F,40,58.94.157.121
1746213,319919,2018-06-27 01:41:39,WFRXMPLQYXRMY,M,37,193.187.41.186
1746213,195911,2018-01-05 00:55:41,GGHKWMSWHCMID,F,27,125.96.20.172
1746213,51878,2018-07-29 05:40:41,YSUUQMHOIJZHJ,M,30,10.119.144.96
1746213,205612,2018-02-03 05:37:07,VOQNWQHJUKFSZ,F,28,135.121.143.189
1746213,300823,2018-02-24 12:16:03,BQKBQIXSRMCHT,M,31,106.24.64.41
1746213,172822,2018-01-22 12:29:32,MKGAJACYBWCXO,F,27,160.16.202.244
1746213,241476,2018-01-11 22:05:15,JJHGNMWRZRCML,M,41,93.33.235.39
1746213,282981,2018-02-25 16:14:39,ENWOHXNLVKHUM,M,43,167.117.148.126
1746213,209856,2018-04-07 09:13:18,ZRGIOMOSCSWRY,F,41,168.129.203.251
1746213,112383,2018-05-09 21:53:08,FANJQIHNZCBLK,F,29,223.165.133.16
1746213,224741,2018-07-17 23:11:40,ZBMJYRLDFWDZH,M,33,22.147.247.152
1746213,53780,2018-02-01 13:57:08,IIVGTDWBOOCWF,F,23,197.35.41.113
1746213,313525,2018-07-29 14:11:39,QWKTKIPMQRAXM,F,26,111.238.209.74
1746213,190744,2018-06-18 00:17:06,GDPQAXLCESTGH,M,36,174.94.114.37
1746213,27166,2018-03-05 05:36:00,RKPZXEZTNVREZ,M,24,204.181.5.187
1746213,19528,2018-03-01 19:21:50,BXVJODDAGSUCB,M,26,223.44.210.52
1746213,289039,2018-06-24 22:14:27,ERCSCRGEPEMAZ,F,25,140.215.169.108
1746213,279462,2018-07-16 03:20:07,PRSFPXRRYRXQX,M,20,86.247.206.54
1746213,341655,2018-08-12 20:35:22,ANPBMJCRPNTAC,F,25,21.9.152.255
1746213,163262,2018-06-28 23:30:00,BHLVUPKGDEOZO,M,19,109.44.216.235
1746213,252403,2018-06-26 12:25:16,RLNKPJZWXTAAK,F,24,246.140.34.132
1746213,298934,2018-01-19 04:37:19,EYKIQWHOTRBHX,M,26,173.37.135.249
1746213,262707,2018-01-12 18:18:08,EJIPHRMSYBRQA,F,35,162.239.144.178
1746213,241015,2018-01-25 13:15:06,PDIBAVIROPLSD,F,24,61.225.60.9
1746213,364918,2018-04-12 19:44:49,MUSENEHGWDGEB,F,36,54.132.101.154
1746213,235887,2018-02-04 21:50:44,SPDMKWBYXVENN,F,22,244.201.12.138
1746213,180180,2018-07-13 08:23:03,DKKPRTIHNIQGV,M,42,33.9.85.146
1746213,295680,2018-06-25 17:25:37,GEJZHPDFUTJYQ,M,35,31.195.62.133
1746213,115007,2018-02-14 06:03:34,VGWOHLPBSVXBI,F,29,4.36.37.10
1746213,202446,2018-04-13 19:48:25,CUWUGMARSEHAL,M,27,105.242.20.53
1746213,353675,2018-06-10 13:14:03,ZVISNSFYYZOXW,F,19,153.174.221.135
1746213,355129,2018-07-23 17:55:25,XLCFUHYTEGKPP,F,49,47.67.62.12
1746213,19346,2018-05-04 01:22:20,YYKHENMZCYKEI,M,28,191.208.188.98
1746213,189012,2018-06-20 10:23:24,BNFPXZLEWOHLG,M,34,234.40.0.60
1746213,316480,2018-07-26 01:08:06,EFCTQNFGESKIL,F,24,55.96.50.238
1746213,86366,2018-03-22 10:19:22,JAVPTBVWGTYEG,M,48,242.84.111.15
1746213,256048,2018-07-23 06:07:14,UIURYTCFWHTGP,M,32,188.112.177.249
1746213,228213,2018-04-07 08:15:30,HWOBUERRIXSEK,M,39,106.248.16.23
1746213,122195,2018-07-28 05:01:52,XKNSDEVBPXWRC,F,43,158.247.83.215
1746213,86248,2018-04-21 08:31:23,HTZCYHACAYASH,F,28,67.154.124.17
1746213,31564,2018-02-06 16:41:55,DVSMIJICYROPA,F,37,221.187.196.98
1746213,252289,2018-05-31 08:18:30,ERWHIAXXMYXZY,F,37,101.44.192.215
